Id,Date,Open,High,Low,Close,Indices
111,13-Aug-21,1697,1722.5,1691.3,1712.2,INFY
112,16-Aug-21,1707.7,1719.95,1690.1,1704.4,INFY
113,17-Aug-21,1703.9,1748.9,1686.55,1741.65,INFY
114,18-Aug-21,1729,1755.5,1727,1733.45,INFY
115,20-Aug-21,1716.1,1745,1716.1,1732.95,INFY
116,23-Aug-21,1735.75,1753.15,1732,1738.75,INFY
117,24-Aug-21,1750,1757,1712.7,1720.85,INFY
118,25-Aug-21,1718,1746.9,1718,1735.55,INFY
119,26-Aug-21,1734,1746,1720,1727.7,INFY
120,27-Aug-21,1725,1727.7,1705.2,1708.8,INFY
121,30-Aug-21,1703.05,1718.65,1690.4,1698.05,INFY
122,31-Aug-21,1700.15,1715,1685.85,1706.45,INFY
123,01-Sep-21,1709.5,1709.5,1673.15,1677.75,INFY
124,02-Sep-21,1677.35,1694.3,1662.65,1689.1,INFY
125,03-Sep-21,1696.05,1705.95,1684.4,1700.65,INFY
126,06-Sep-21,1705.15,1732,1699.35,1730.4,INFY
127,07-Sep-21,1730,1734.9,1704,1706.65,INFY
128,08-Sep-21,1700.85,1700.85,1682.95,1693.25,INFY
129,09-Sep-21,1685.9,1694.9,1682.15,1691.6,INFY
130,13-Sep-21,1683,1701.5,1675.2,1691.9,INFY
131,14-Sep-21,1695.95,1695.95,1678.6,1686.15,INFY
132,15-Sep-21,1693.25,1715.1,1690.2,1711.45,INFY
133,16-Sep-21,1715.2,1719.25,1691.45,1702.25,INFY
134,17-Sep-21,1697,1718,1684.45,1691.3,INFY
135,20-Sep-21,1685,1707.7,1677.95,1687.85,INFY
136,21-Sep-21,1700,1726.75,1684.65,1718.45,INFY
137,22-Sep-21,1717,1738.9,1713.05,1716.9,INFY
138,23-Sep-21,1732,1745,1721.1,1742.55,INFY
139,24-Sep-21,1758,1788,1752.45,1763.85,INFY
140,27-Sep-21,1768.75,1769,1718.1,1721.15,INFY
141,28-Sep-21,1710,1710,1675,1687.1,INFY
142,29-Sep-21,1659.25,1701.4,1655,1692.25,INFY
143,30-Sep-21,1703,1703,1670.1,1675.2,INFY
144,01-Oct-21,1665.1,1678.95,1661.25,1665.15,INFY
145,04-Oct-21,1672.5,1688,1665.4,1678.75,INFY
146,05-Oct-21,1671,1702.95,1663,1692.8,INFY
147,06-Oct-21,1702.1,1709,1670,1673.55,INFY
148,07-Oct-21,1687,1704.2,1676.65,1691,INFY
149,08-Oct-21,1705.25,1731.5,1698.4,1723.85,INFY
150,11-Oct-21,1682,1730,1663.7,1690.95,INFY
151,12-Oct-21,1677,1689,1662,1685.15,INFY
152,13-Oct-21,1695.95,1713.65,1680.05,1709.2,INFY
153,14-Oct-21,1754,1783.6,1698.2,1715.75,INFY
154,18-Oct-21,1740,1799,1740,1792.15,INFY
155,19-Oct-21,1814,1834.5,1782.3,1822.15,INFY
156,20-Oct-21,1829.4,1848,1794.05,1802.35,INFY
157,21-Oct-21,1814,1814,1746.85,1753.65,INFY
158,22-Oct-21,1749.9,1763.2,1707,1719.8,INFY
159,25-Oct-21,1722.05,1729.75,1687.2,1707.55,INFY
160,26-Oct-21,1710.05,1726.6,1695.9,1703.7,INFY
161,27-Oct-21,1709.1,1734.15,1701.15,1728.95,INFY
162,28-Oct-21,1719.35,1724.75,1692.05,1703.9,INFY
163,29-Oct-21,1699,1712.6,1661.05,1667.75,INFY
164,01-Nov-21,1677.5,1707.2,1676,1700.05,INFY
165,02-Nov-21,1695,1706.45,1686.35,1697.9,INFY
166,03-Nov-21,1709,1717.45,1699,1702.5,INFY
167,04-Nov-21,1715,1717,1705,1708.7,INFY
168,08-Nov-21,1730,1741,1703,1737.5,INFY
169,09-Nov-21,1734.75,1750,1726,1742.5,INFY
170,10-Nov-21,1726,1750.95,1721.95,1740.15,INFY
171,11-Nov-21,1732.95,1739.75,1709,1733.3,INFY
172,12-Nov-21,1743,1782.85,1738.05,1780.2,INFY
173,15-Nov-21,1782.1,1800,1775.5,1787.15,INFY
174,16-Nov-21,1790,1808.95,1777,1792.3,INFY
175,17-Nov-21,1792.55,1802,1780.7,1787.45,INFY
176,18-Nov-21,1781.6,1789.45,1759,1779.4,INFY
177,22-Nov-21,1784,1785.4,1751.15,1759.4,INFY
178,23-Nov-21,1735.1,1747.25,1710,1736.9,INFY
179,24-Nov-21,1740,1740.5,1688,1696,INFY
180,25-Nov-21,1700,1726.2,1696.95,1722.4,INFY
181,26-Nov-21,1702.55,1718.35,1684,1691.65,INFY
182,29-Nov-21,1691,1712,1669.15,1696.35,INFY
183,30-Nov-21,1704.55,1729.9,1700.05,1712.65,INFY
184,01-Dec-21,1715,1741.9,1713,1714.9,INFY
185,02-Dec-21,1715,1750.5,1711.35,1748.25,INFY
186,03-Dec-21,1771.1,1786.65,1732.55,1735.55,INFY
187,06-Dec-21,1730,1733.95,1691.5,1695.3,INFY
188,07-Dec-21,1701.1,1724.9,1694,1711.65,INFY
189,08-Dec-21,1733,1759.8,1732.6,1753.35,INFY
190,09-Dec-21,1759,1769.4,1742,1763.45,INFY
191,10-Dec-21,1760,1763.75,1746,1759.25,INFY
192,13-Dec-21,1767.05,1771.35,1738.8,1744.65,INFY
193,14-Dec-21,1730.9,1763,1710.35,1752.15,INFY
194,15-Dec-21,1745,1747.95,1721.2,1734.2,INFY
195,16-Dec-21,1762.65,1777.6,1758,1771.6,INFY
196,17-Dec-21,1820,1842,1806.75,1820.85,INFY
197,20-Dec-21,1801.7,1829.65,1787.3,1798.9,INFY
198,21-Dec-21,1801,1838,1801,1811.6,INFY
199,22-Dec-21,1825,1829.15,1812.35,1824.7,INFY
200,23-Dec-21,1831.25,1861.6,1827,1857.6,INFY
201,24-Dec-21,1872.95,1875.75,1854,1863.5,INFY
202,27-Dec-21,1860,1874.5,1845.05,1866.15,INFY
203,28-Dec-21,1880.7,1895.9,1878.4,1888,INFY
204,29-Dec-21,1883.5,1893.8,1876.4,1885.55,INFY
205,30-Dec-21,1884.5,1909.8,1874.35,1892.85,INFY
206,31-Dec-21,1890,1898.35,1871.65,1887.75,INFY
207,03-Jan-22,1887.75,1914.05,1887.75,1898.45,INFY
208,04-Jan-22,1898.45,1906.65,1878,1899.15,INFY
209,05-Jan-22,1900,1902.9,1840,1844.65,INFY
210,06-Jan-22,1828,1828,1800,1817.8,INFY
211,07-Jan-22,1815.45,1836,1806.8,1814.3,INFY
212,10-Jan-22,1815,1869.9,1813,1850.75,INFY
213,11-Jan-22,1855,1870,1850.15,1855.6,INFY
214,12-Jan-22,1868.9,1889,1860,1877.45,INFY
215,13-Jan-22,1905,1912.5,1866.35,1896.8,INFY
216,14-Jan-22,1882,1933,1881,1929.35,INFY
217,17-Jan-22,1938.55,1953.9,1930.5,1939.5,INFY
218,18-Jan-22,1922.1,1945,1911.45,1920.75,INFY
219,19-Jan-22,1916,1916,1862.85,1867.05,INFY
220,20-Jan-22,1844,1848,1815.5,1823.7,INFY
221,21-Jan-22,1795,1808,1776,1785.7,INFY
222,24-Jan-22,1765,1768.65,1728,1736.8,INFY
223,25-Jan-22,1726.6,1740,1700.5,1722.15,INFY
224,27-Jan-22,1702,1709.7,1665,1678.6,INFY
225,28-Jan-22,1681,1727.55,1679.5,1686.2,INFY
226,31-Jan-22,1718,1749.5,1715.35,1736.2,INFY
227,01-Feb-22,1766.1,1780,1734.7,1772.05,INFY
228,02-Feb-22,1789,1792.8,1772,1787.1,INFY
229,03-Feb-22,1779,1779,1734,1738.55,INFY
230,04-Feb-22,1732,1753.95,1710.15,1741.1,INFY
