date,open,high,low,close,volume,Name
01-06-2012,3861.4,3886.5,3795.05,3799.8,25881717,15537700000
04-06-2012,3765.65,3835.25,3743.4,3821.7,26063413,16035800000
05-06-2012,3850.15,3884.7,3832.75,3850.45,27927585,17285000000
06-06-2012,3874.4,3965.65,3873.5,3954.5,47740365,24297400000
07-06-2012,3992.7,4034,3972.9,4028.5,41385430,23875300000
08-06-2012,4030.9,4051.5,3972.1,4038.2,35072878,20207800000
11-06-2012,4064.35,4096.1,4022.6,4033.65,32812899,18586400000
12-06-2012,4004.8,4096.5,4004.65,4090.25,37274881,21595200000
13-06-2012,4096.4,4124.05,4071.15,4093.15,37688611,21103300000
14-06-2012,4073.3,4088.2,3975.8,3985.05,30010229,18438500000
15-06-2012,3993.05,4077.15,3993.05,4062.9,32763803,19563800000
18-06-2012,4105.05,4111.2,3936.7,3954.7,34247880,25044000000
19-06-2012,3949.8,3983,3914.5,3975.85,29825741,19585200000
20-06-2012,3989.15,4002.05,3959.4,3986.25,23465695,13906800000
21-06-2012,3967.95,4063.65,3967.95,4059.5,31150158,19200000000
22-06-2012,4001.15,4059.25,3987.75,4047.55,35181378,20023900000
25-06-2012,4063.05,4099.35,4008.15,4018.5,26488154,20280100000
26-06-2012,4011.75,4048,4005.3,4028.05,20560780,14278200000
27-06-2012,4050.2,4079.9,4041.4,4053.3,30323471,15781400000
28-06-2012,4055.9,4063.75,4030.25,4049.25,32138798,21850900000
29-06-2012,4090.45,4178.05,4090.45,4171.65,35558757,21425700000
02-07-2012,4180.15,4219.55,4157.55,4207.65,26867528,17816900000
03-07-2012,4223.95,4263.85,4223.8,4245.65,28055240,17930200000
04-07-2012,4265.1,4276.45,4243.8,4267.1,33076854,21956000000
05-07-2012,4257.05,4311.25,4248.05,4307.05,30731434,17731000000
06-07-2012,4305.05,4333.8,4278.2,4320.75,34557298,20334900000
09-07-2012,4299.3,4301.05,4258.05,4285.5,22741547,16003500000
10-07-2012,4299.4,4355.25,4295.85,4350.8,29738031,19359100000
11-07-2012,4327.05,4358.85,4324.95,4331.3,26657353,18323300000
12-07-2012,4305.5,4320.7,4272.15,4293.9,22107753,14775100000
13-07-2012,4307.1,4332,4279.6,4289.65,20802080,13064000000
16-07-2012,4296.1,4325.95,4279.7,4285.95,20705931,13628700000
17-07-2012,4316.2,4325.7,4270.6,4285.85,23716279,15244900000
18-07-2012,4290.25,4317.15,4271.2,4311.5,25859399,16766800000
19-07-2012,4339.6,4348.65,4322.75,4331.8,26853875,16982300000
20-07-2012,4335.05,4335.05,4263.1,4270.45,24067908,14904300000
23-07-2012,4239.8,4239.8,4185.95,4194.95,21840754,12874900000
24-07-2012,4197.2,4212.75,4174.5,4200.05,26254501,13425500000
25-07-2012,4195.3,4204.45,4171.95,4188.8,26138741,13338100000
26-07-2012,4204.7,4204.7,4118.45,4127.35,35811601,22734500000
27-07-2012,4197.3,4240.9,4146.4,4159.6,35540158,26333100000
30-07-2012,4191.1,4259.85,4191.1,4255.55,30999582,22324600000
31-07-2012,4272.05,4273.75,4208.35,4268.15,32396748,25070500000
01-08-2012,4254.2,4308.5,4252.75,4298.1,31651929,17003600000
02-08-2012,4295.5,4300.1,4258.25,4281.55,20742980,13732200000
03-08-2012,4254.7,4266.75,4220.45,4261,29295441,16309000000
06-08-2012,4299.7,4341.4,4299.7,4328.95,29561665,16624700000
07-08-2012,4341.65,4397,4326.85,4389.45,34287070,20513300000
08-08-2012,4398.7,4412.2,4364.5,4371.15,29527083,18129300000
09-08-2012,4385.95,4397.05,4313.75,4321.45,33191991,22624600000
10-08-2012,4309.5,4318.5,4256.8,4288.95,41451575,35875000000
13-08-2012,4282.35,4344.85,4274.3,4339.1,27415367,21486400000
14-08-2012,4342.7,4368.3,4315.45,4357.9,27341417,18561200000
16-08-2012,4370.15,4381.7,4336.55,4343.4,38396502,20259700000
17-08-2012,4349,4377.7,4324.45,4346.6,27503991,16925100000
21-08-2012,4351.1,4405.65,4340.95,4398.45,26237390,15768400000
22-08-2012,4374.9,4405.6,4370.95,4383.8,24418384,15677900000
23-08-2012,4400.1,4419.1,4352.4,4367.75,30060054,19318900000
24-08-2012,4348.2,4359.95,4323.4,4332,22625766,13847500000
27-08-2012,4332.65,4332.65,4267.55,4271.25,23511130,15260500000
28-08-2012,4273.15,4274.5,4228.5,4243.95,30768117,18989100000
29-08-2012,4255.85,4256.8,4210.55,4214.25,26781996,16049900000
30-08-2012,4196.6,4278.2,4181.1,4255.1,52233693,31065400000
