date,open,high,low,close,volume,Name
02-08-2004,2270.9,2275.6,2248.15,2258.7,11327254,4709900000
03-08-2004,2260.65,2280.95,2252.35,2266.05,14852655,6384400000
04-08-2004,2265.8,2265.8,2229.95,2239.4,10940334,4516200000
05-08-2004,2242,2306.6,2239.85,2300.5,15009225,6213500000
06-08-2004,2300.2,2300.2,2248.75,2264.5,16911648,6986900000
09-08-2004,2250.3,2284.55,2228.35,2281.25,11519498,5095700000
10-08-2004,2284.7,2299.3,2265.85,2286.8,11776363,4845800000
11-08-2004,2292.05,2316.4,2255.2,2264.85,15054175,6448500000
12-08-2004,2253.2,2271.4,2225.55,2236.65,12154738,5503700000
13-08-2004,2233.55,2243.55,2204.15,2210.85,12128963,4912000000
16-08-2004,2212.65,2232.6,2202.1,2226.65,8630819,3692300000
17-08-2004,2228.1,2257.95,2225.25,2234.55,11000097,4291500000
18-08-2004,2234.85,2250.9,2222.8,2231.95,14217896,5159300000
19-08-2004,2247.45,2293.9,2247.45,2289.35,13674990,6502000000
20-08-2004,2290.1,2304.1,2275.3,2294.3,10534738,5051700000
23-08-2004,2296.05,2338,2293.85,2303.4,12787104,5509100000
24-08-2004,2304.45,2333.7,2304.45,2325.15,14630076,5183000000
25-08-2004,2334.55,2341.05,2284.2,2296.2,13752010,5196000000
26-08-2004,2289.65,2323.7,2289.65,2318.25,11483442,5013400000
27-08-2004,2318.55,2322,2299.7,2318.2,12296525,4028400000
30-08-2004,2324.6,2344.15,2317.85,2340.25,9100971,3289800000
31-08-2004,2340.55,2352.9,2323.25,2340.15,10376500,3762200000
01-09-2004,2342.7,2352.95,2340.35,2343.9,7194694,2408700000
02-09-2004,2347.85,2386.55,2347.85,2372.3,17930412,6597300000
03-09-2004,2374.15,2395.5,2369,2390.1,13623763,4940700000
06-09-2004,2391.65,2413.85,2391.65,2405.6,14658730,4609800000
07-09-2004,2405.8,2429.35,2398.45,2424.2,14543129,5131800000
08-09-2004,2426.25,2436.9,2419.4,2426.2,11190485,4012000000
09-09-2004,2426.25,2432.45,2402.9,2416.2,9271423,3573200000
10-09-2004,2423,2450.7,2415.65,2444.55,14490242,5710100000
13-09-2004,2442.9,2480.4,2442.9,2459.9,13575848,5649400000
14-09-2004,2460.85,2506.5,2455.3,2501.7,17449253,8500400000
15-09-2004,2502.7,2512.2,2470.2,2480.45,20434181,7781900000
16-09-2004,2470.15,2490.4,2459.7,2487.85,14947668,5536200000
17-09-2004,2489.5,2493,2470.25,2483.45,13069732,5876300000
20-09-2004,2479.85,2479.85,2441.3,2445.85,12572688,5803000000
21-09-2004,2447.85,2502.9,2443.55,2498.8,15719809,7406300000
22-09-2004,2503.6,2516.85,2479,2503.65,14465704,6179700000
23-09-2004,2493.8,2493.8,2447,2452.95,11043517,5482000000
24-09-2004,2448.8,2464.05,2421.35,2429.1,9637643,4782100000
27-09-2004,2430.75,2439.75,2411,2430.55,8234838,4094600000
28-09-2004,2423.25,2424.65,2396.65,2400.7,10875584,4977700000
29-09-2004,2410.2,2448.65,2401.85,2445.25,12838762,5489000000
30-09-2004,2466.85,2502.25,2453.6,2496.2,15478445,7283900000
01-10-2004,2495.95,2537.7,2495.95,2527.8,10534703,5214000000
04-10-2004,2543.25,2593.9,2543.25,2587.45,14077579,6025300000
05-10-2004,2599.35,2609.5,2577.25,2594.55,12028760,5072300000
06-10-2004,2589.25,2589.25,2541.05,2550.5,13941037,6975900000
07-10-2004,2557.5,2589.35,2548.35,2580.25,11009282,4688800000
08-10-2004,2582.3,2608.2,2582.3,2602.9,15543282,5871300000
09-10-2004,2603.1,2607.2,2591.55,2598,5015988,1158700000
11-10-2004,2604.45,2616.95,2562.85,2570.9,12366881,4854700000
12-10-2004,2592.5,2619.3,2566.25,2577,16396035,8322700000
14-10-2004,2579.55,2708.75,2579.55,2695.85,22719624,12274200000
15-10-2004,2709.65,2725.7,2649.65,2659.6,19458849,8217300000
